家居 	 8 款 家居 色彩 搭配   温暖 整个 冬季 ( 组图 ) 独特 的 色彩 、 舒适 的 效果 与 和谐 的 生活 并 不 冲突 ， 家居 色彩 配色 要 遵循 哪些 原则 、 怎样 的 色彩 搭配 能 取得 最好 的 效果 、 如何 运用 家居 色彩 让 生活 更 舒适 ， 快 来看 一 看吧 。 【 米 白色 + 红色 】 以 乳白色 和 米黄色 为 代表 ， 稍暗 的 红色 与 米 白色 搭配 ， 在 统一 的 鲜亮 色调 中 加入 素雅 的 色调 ， 显得 格调高雅 、 富有 现代感 ， 安宁 中 透露 华丽 。 
 家居 	 卫生间 窗户 成为 餐厅 的 采光 处 ( 图 ) 以 柳条 、 实木 、 马尼拉麻 、 皮草 等 为 主要 材质 的 东南亚 田园 家居 , 暗香 浮动 ,   它 的 自然 、 飘逸 犹如 花香 随风 而 来 。   
 家居 	 卫生间 聂远 选用 整个 基调 的 色彩 ( 图 ) 卫生间 聂远 仍然 选用 符合 整个 基调 的 色彩 ， 很 冷静 ， 很 男性 。   
 家居 	 印花   刺绣   提花 三款 床具 式样 ( 图 ) 欧美 古典主义 风格 的 Waterford   床上 布艺 用品 ， 在 材料 选择 方面 ， 以 纯棉 、 绸缎 、 锦缎 等 素材 ， 制作 出 印花 、 刺绣 、 提花 三款 床具 式样 。 在 细部 创意 上 ， 则 注重 蕾丝 花边 的 加工 ， 极力 营造 床位 立体 美 。 色彩 方面 ， 永不 退 流行 的 白 ， 依然 是 设计 的 重点 ， 在 细部 花纹 上 则 用 镶 绣 、 镂花 、 缎带 造型 ， 营造 雅致 的 感觉 。 其他 的 淡黄 、 浅菊 、 浅褐等 风格 清新 的 床饰 增添 室内 的 迷人 的 风采 ， 为 消费者 带来 法式 的 浪漫 与 温柔 。 
 家居 	 卷心菜 餐厅   曼谷 ( 图 ) 卷心菜 和 避孕套 餐厅 ， 曼谷 ， 泰国 该 餐厅 翠绿 的 卷心菜 和 光滑 的 避孕套 互相 搭配 作为 餐厅 的 主要 装饰 ， 随时 提醒 你 计划生育 。 
 家居 	 厅 内 进餐 之 区域 不要 对 着 卫生间 ( 图 ) 餐厅 对 着 卫生间 厅 内 进餐 之 区域 最好 不要 对 着 卫生间 。 进食 为入 ， 排泄 乃出 。 此 “ 出 ” 与 “ 入 ” 两地 最好 不要 碰面 。 当今 的 楼宇 设计者 在 设计 居室 布局 的 时候 一心 替 开发商 着想 ， 却 忘 了 自己 日后 也 是 消费者 。 比如 ， 不少 楼宇 的 客厅 内 ( 或 走廊 内 ) 的 厨房 与 卫生间 总是 那么 怪异 地 正对着 ， 也 就是 “ 入口 ” 与 “ 出口 ” 的 门 正 对 。 如此一来 ， 污秽 之气 与 饭菜 香气 交融 在 一团 ， 直捣 肠胃 ， 酝酿 病源 。 若 现有 户型 实在 无法 改变 ， 可 置放 一盆 较 高大 的 绿色植物 于 卫生间 门口 ， 否则 最好 将 其中 一门 改向 。 卫生间 在 一宅 正中 有些 户型 设计 ， 将 卫生间 ( 一般 是 客卫 ) 安置 在 一宅 的 中央 ， 这种 布局 是 很 不 妥当 的 。 最为 常见 的 现象 ， 就是 导致 宅中人 身体 有恙 ( 一般 是 易 患 肠胃 之疾 ) 。 卫生间 正冲 床位 如今 的 楼宇 设计 很多 都 犯 了 一个 通病 ， 那 就是 主卧室 里 卫生间 的 门 冲着 室内 的 睡床 。 不过 这倒 也 迎合 了 时 下 人们 的 懒惰 心理 ， 一骨碌 翻下床 就 可以 方便 。 但 不要 忘 了 ， 卫生间 乃 排污 之地 ， 而 睡床 被 其 正冲 正 对 ， 当然 会 对 身体 有 潜移默化 的 影响 。 何况 洗浴 之后 的 潮气 侵到 卧室 内 也 会令 居者 不妥 。 其实 ， 稍微 想象 一下 就 清楚 了 ： 在 一个 人 躺 在 床上 长 达 八小时 左右 的 时间 内 ， 一间 弥漫着 水汽 的 卫生间 的 门 就 在 身边 ， 确实 是 较 不合理 的 布局 。 进门 见 餐桌 刚一 进门 就 正对着 餐桌 ， 会 令人 的 潜意识 里 有 一种 不太 舒服 的 味道 。 如果 条件 允许 ， 可 置放 屏风 或 植物 进行 隔离 。 餐厅 与 厨房 合而为一 显然 有 问题 。 因为 厨房 乃 水火 油烟 弥漫 之地 ， 此处 气场 动荡 不 宁 ， 不 适宜 进餐 。 进餐 区域 的 环境 要 简单 明快 与 整洁 ： 很多 家庭 的 餐桌 周围 ， 满是 凌乱 与 物品 堆积 。 这种 形式 要 马上 予以 调整 ， 因为 日久天长 会 导致 不利 消化 ， 并 滋生 不 和谐 气氛 。 厨房门 与 卫生间 的 门 不要 正对 入户门 无论 厨卫 ， 都 应该 避免 门 门 相对 或 与 大门 ( 入户门 ) 正对 。 姑且 不论 是否 会 影响 财运 ， 单说 影响 健康 就 已经 令人 很 不爽 了 。   
 家居 	 厚实 的 矮 窗 与 茶桌 茶碗 ( 图 ) 推开 这 扇门 ， 由 现实 的 纷杂 进入 黑色 通道 ， 梦境 的 帷幕 慢慢 打开 。 你 无法 直接 进入 大厅 ， 得 碎步 无声 影子 般 穿过 狭窄 的 二十几米 长 的 一人巷 ， 射灯 把 爬 在 墙上 的 家具 模型 的 影子 拉得 修长 ， 时 走时 停 ， 穿越 的 过程 有着 十分 重要 的 意义 ， 这是 一个 关于 时间 的 游戏 ， 考验 你 的 心境 ， 空间 界面 材料 已 不 重要 ； 或者说 任何 静止 的 画框 定点 透视 已 让 位于 缓慢 游动 中 的 体验 。 设计师 在 设计 之前 曾多次 往来 此地 以 模拟 体验 并 在 动态 中 把握 空间 感受 。 这 不再 是 用笔 在 工作室 完成 的 设计 ， 更 像是 用 脚步 走 出来 的 设计 。   
 家居 	 厚重 之感   给 人 感觉 古色古香 的 韵味 ( 图 ) 进门 走廊 两边 的 摆设 。 在 家具 的 选用 上 ， 注意 家具 的 收纳 作用 。 
 家居 	 厚重 的 青绿色 墙面 形成 强烈 的 对比 ( 图 ) 冷艳 魅惑 淡蓝色 的 家具 、 白色 的 地毯 与 厚重 的 青绿色 墙面 形成 强烈 的 对比 ， 层次分明 的 冷色调 营造 出 惊艳 的 视觉 张力 ， 在 这 充满 冷调 、 个性 的 家居环境 中 ， 一种 内在 的 魅力 油然而生 。 大 墙壁 主要 采用 冷艳 的 青绿色 ， 十分 抢眼 ， 充满 个性 的 张扬 ， 其余 则 选择 纯白色 进行 提亮 。 Quickstep 涂油 胡桃木 地板 为 冷调 的 空间 带来 几分 暖意 ， 白色 的 John   Lewis 小 花饰 窗帘 在 光线 映照 下 熠熠生辉 ， 让 空间 显得 更加 纯净 、 明亮 。 淡蓝色 的 布艺沙发 和 宜家 的 淡蓝 边 小 茶几 搭配 得体 ， 赋予 房间 更 多 柔和 感 。 墙角 纯木 架子 上 的 蓝色 花瓶 ， 小 相框 ， 壁炉架 上方 的 白色 大 相框 和 茶几 上 的 别致 托盘 ， 是 对 冷调 空间 很 好 的 修饰 。 总体 感觉 是 使用 对比 冷色 ， 创造 出 特立独行 的 个人风格 。 绚酷 时光 入目 皆 是 抢眼 缤纷 的 橙黄色 调 ， 性感 、 魅惑 、 时尚 、 优雅 ， 冷 灰色 的 家具 、 饱满 的 纯 木地板 以及 白色 的 墙面 ， 在 温馨 的 气氛 中 渗透 着 清新 、 活泼 的 风格 ， 让 小小的 空间 拥有 更 多 的 想象力 。 白色 的 墙面 色彩 清淡 、 简洁 ， 对 整体 橙黄色 调 起到 很 好 的 中和作用 ， 纯 木地板 让 现代 、 轻盈 的 房间 多 了 几分 厚重 。 白底 橙 、 黑 、 灰三色 花纹 的 Freemans 窗帘 在 白色 背景 下 显得 别有风味 。 灰白色 布艺沙发 搭配 数个 橙色 和 棕色 靠垫 ， 宜家 的 长方 小 桌上 是 橙色 石质 花瓶 、 灰缸 形 花瓶 和 船形 果盘 ， 造型 别致 。 壁炉架 上 画框 内 依然 是 橙色 图画 ， 和 香蕉 形 黄色 花瓶 。 墙角 的 架子 上 随意 摆放着 橙 、 白 、 青灰色 花瓶 和 小 相框 、 饰物 等 。 整体 空间 虽然 有 大幅 的 白 ， 但 橙色 始终 都 作为 主色调 存在 。 
 家居 	 原木 家居   打造 返璞归真 的 时尚 ( 组图 ) 这是 位于 美国 纽约州 小镇 Sag   Harbor 一件 纯 原木 式 的 家居 别墅 ， 由 纽约州 的 Jendretzki 设计 事务所 设计 ， 纯田 田园 风味 的 别墅 结构 和 家居设计 让 人 向往 ， 给 人 一种 宁静 和 淳朴 的 生活气息 。 房子 虽然 采用 纯原 木结构 ， 但是 却 具有 现代感 生活 的 气质 ， 室内设计 也 充满 了 美式 简约 风格 的 时尚 感 。 
 家居 	 原木 饰品 扁口 套 三 玫瑰花 瓶 ( 图 ) 原木 饰品 扁口 套 三 玫瑰花 瓶 木头 装饰物 流行风 起 — — 从 室内装饰 到 室外 建筑 ， 从 一个 木雕 摆件 到 一个 木桌 ， 木 饰品 一直 以 其 特有 的 朴实 形象 深受 人们 的 喜爱 。 而 以 木质 为 材料 的 饰品 ， 则 已经 流行 多年 ， 近几年来 ， 随着 家居 环保 与 健康 的 理念 逐步 深入人心 ， 更 多 年轻人 喜欢 用 木制 摆件 布置 自己 的 家居 。 
 家居 	 原来 的 书房 改造 成 儿童房 ( 图 ) 现在 家庭 生活 成为 她 的 人生 主流 ， 似乎 很 平淡 ， 但 却 在 这 平淡 中 ， 感受 到 了 生命 中 最 重要 的 幸福 ， 这种 幸福 ， 都 在 她 的 歌 《 春秋 》 里 ， 很 忙碌 却 又 很 享受 。   
 家居 	 原生态 彩陶   彰显 厨房 自然 气息 ( 组图 ) Zrike 彩陶 ， 其 图案 、 色彩 设计 注重 于 原生态 风格 ， 让 我们 的 厨房 充满 自然 的 气息 。   
 家居 	 厨卫 样机 4 折 促销   大 中 电器 真实 让利 京城 家电市场 的 “ 元旦 促销 烽火 ” 今日 将 被 全面 引燃 。 大 中 电器 针对 元旦 的 首轮 大型 促销 今天 全面 展开 ： 单品 满 1500 元 送 900 元 红包 的 超值 活动 ， 超过 20 万件 的 赠品 豪礼 将 全部 送 出 。 另外 ， 手机 以旧换新 补贴 活动 也 将 在 整个 元旦 促销 期间 为 消费者 带来 双重 优惠 。 提前 打响 元旦 巨惠   低价 策略 真实 让利 此次 大 中 元旦 巨惠 促销 ， 力度 空前 ， 以 20 亿元 的 采购 量 再次 压低 市场 平均价格 ， 百余家 知名 厂商 也 都 表示 ， 将 提供 大量 特价 资源 鼎力支持 大中 在 2009 年末 的 元旦 “ 收关 之战 ” 。 大 中 电器 总经理 赵瑞杰 表示 ， 经过 了 市场 和 消费者 的 层层 考验 得到 证实 ， 大中 的 低价 策略 是 能够 真正 吸引 消费者 前来 购买 。 大 中将 保持 住 自身 的 低价 优势 ， 真情 让利 ， 回馈 广大 消费者 的 厚爱 。 针对 全场 ， 大 中 隆重推出 “ 单品 满 1500 元 送 900 元 红包 ” 的 超值 活动 。 彩电 引领 品类 摆 出 比价 大 擂台 ， 全城 价格 探底 ， 同时 推出 预交 30 元 现金 得 300 元 的 财富 翻倍 活动 ； 冰箱 洗衣机 满 2000 元立 减 300 元 ； 手机 全场 满 1000 元 直降 200 元 + 以旧换新 补贴 + 赠礼 让 您 尽享 三重 优惠 。 还有 3000 台 液晶电视 、 5000 台 移动 电视 、 5000 台 微波炉 、 10000 台 DVD 机 、 10 万件 食用油 等 20 万件 超值 赠品 将 被 全部 送 出 。 厨卫 样机 4 折   套购 可享 二次 优惠 厨卫 家电 是 家装 家电 中 必备 “ 大件 儿 ” ， 今年 家装 需求 的 上升 也 带动 了 厨卫 电器 销售 的 增长 。 本周 开始 ， 大 中 厨卫 家电 全场 4 - 9 折售 ， 特价 样机 4 折起 ， 参加 “ 以旧换新 ” 活动 ， 在 厂家 活动 基础 上大中 再 多 补 100 - 300 元 。 同时 ， 购买 任意 厨卫 产品 都 有 精美 实惠 的 赠品 可 供 挑选 。 烟机 灶具 方面 ， 有近 二十家 烟灶 品牌 和 近 百款 的 型号 供 消费者 挑选 。 大中 为 元旦 促销 提前准备 了 丰富 的 赠品 ， 凡 购买 烟机 灶具 即可 获赠 家用 消毒柜 ， 或者 可以 选择 加湿器 、 二件 或 三件套 锅 、 电 压力锅 等 其他 实用 礼品 ， 成套 购买 烟机 灶具 更 可 在 原有 活动 基础 上 的 二次 优惠 。 热水器 也 是 冬季 热销 的 重点 产品 ， 本周 在 大中 选购 各 品牌 型号 的 热水器 ， 除了 可以 提前 享受 元旦 低价 ， 均 有 浴霸 等 礼品 赠送 。 同时 ， 大中 还 新 引进 了 “ 便携式 桑拿房 ” ， 在家 即可 轻松 完成 美容 SPA ， 对 风湿病 关节炎 腰酸背痛 有 很 好 的 缓解 效果 ， 对于 手脚冰凉 虚寒 体质 的 人 ， 更是 在 秋冬季 最 适合 使用 的 产品 。 
 家居 	 厨房   洁白 光亮 的 厨具 ( 图 ) 而 厨房 料理台 经过 高低 差及 嵌入 收放 的 巧思 整合 ， 具有 丰富 的 机能性 ， 既 可 兼 做 吧台 功能 ， 也 能 延展 为 大 餐桌 … … 
 家居 	 厨房 充满 自然 的 气息 ( 图 ) Zrike 彩陶 ， 其 图案 、 色彩 设计 注重 于 原生态 风格 ， 让 我们 的 厨房 充满 自然 的 气息 。   
 家居 	 厨房家具 挑选   整体橱柜 + 餐桌 ( 图 ) 厨房家具 挑选 ： 整体橱柜 + 餐桌 ： 整体橱柜 “ 一 ” 字形 的 设计 ， 将 洗刷 和 烹调 去 紧密 相连 ， 最能 节省 空间 。 
 家居 	 厨房 的 烹调 区 被 设计 成 突出 的 一角 ( 图 ) 在 厨房 的 烹调 区 被 设计 成 突出 的 一角 ， 不仅 降低 了 烹饪 台面 的 高度 ， 还 利用 多边 拐角处 的 高度 不同 的 方格 放 主人 经常 饮用 的 酒 。 
 家居 	 厨房 的 装饰 虽然 简洁   却 很 方便 实用 ( 图 ) 厨房 的 装饰 虽然 简洁 ， 却 很 方便 实用 ， 甚至 还有 专 为 学习 做菜 而设 的 电视 。 
 家居 	 厨房 角落里 普通 的 藤编 小 架子 ( 图 ) 小编 很 喜欢 下面 这种 装潢 的 风格 ， 特别 适合 女孩子 。 细腻 、 柔美 、 温馨 ， 怪不得 主人 这么 津津乐道 的 与 大家 分享 。 主人 说 ： “ 在 北京 这个 熙攘 的 城市 中 ， 家 应该 是 每个 人 心底 最 温柔 的 部分 ， 卸去 外面 的 浮躁 与 欲望 ， 让 心 就 这么 静下来 ， 静下来 。 ” 我 相信 主人 的 心态 有着 众多 的 赞同者 ， 那 就让 我们 一起 参观 一下 她 精致 典雅 的 田园 小窝 ！ 
 家居 	 又 鲜 又 亮 的 粉红 是 莲花 的 颜色 ( 图 ) 娜 姆 解释 ： 蓝色 是 故乡 泸沽湖 的 颜色 ， 那里 的 水 蓝风清 ， 是 一生 也 不会 忘记 和 抛弃 的 地方 ； 又 鲜 又 亮 的 粉红 是 莲花 的 颜色 ， 娜 姆 最 爱 的 颜色 ； 而 自小 接受 藏传佛教 ， 进而 对 这种 明 黄色 虔诚 的 信仰 自然 也 是 顺理成章 的 。 
 家居 	 变废为宝   六 方案 让 家 变大 ( 组图 ) 不 可能 每个 户型 都 百分百 完美 。 当 你 面对 一个 2 米 × 2 米 见方 的 狭小 空间 时 ， 通常 会 感到 莫名其妙 ， 不知 如何 利用 。 像 香港 寸土寸金 ， 不少 网友 总结 了 自己 的 心得 ， 以下 6 种 操作 简单 的 方案 ， 希望 能 帮助 你 “ 变废为宝 ” 。 厨房 如果 你 平时 很少 下厨 ， 不如 把 采光 良好 的 明厨 划入 起居 空间 ， 而 把 厨房 隔壁 的 狭小 空间 布置 成 厨房 。 根据 房间 大小 ， 选择 尺寸 适合 的 冰箱 、 灶具 、 餐台 ， 建议 选择 白色 和 不锈钢 颜色 的 厨房 产品 ， 用 鲜亮 色彩 的 餐厨 用具 做 适当 点缀 ， 获得 玲珑 精致 的 效果 。 
 家居 	 变身 的 沙发 能够 为主 人 分忧 ( 图 ) 对于 小户型 来说 ， 留宿 客人 总是 一个 令 主人 尴尬 的 事情 。 现在 ， 客厅 里 可以 “ 变 身 ” 的 沙发 能够 为主 人 分忧 了 。 留宿 客人 的 时候 ， 只 需要 将 隐藏 在 沙发 内部 的 弹簧床 拉 出来 就行了 ， 十分 方便 。 平时 ， 沙发 还是 沙发 ， 谁 也 不 知道 它 与 主人 之间 的 小 秘密 。   
 家居 	 古典 中式 客厅 装修 ( 图 ) 新 中式 风格 诞生 于 中国 传统 文化 复兴 的 新 时期 ， 伴随 着 国力 增强 ， 民族意识 逐渐 复苏 ， 人们 开始 从 纷乱 的 “ 摹仿 ” 和 “ 拷贝 ” 中 整理 出 头绪 。 在 探寻 中国 设计界 的 本土 意识 之初 ， 逐渐 成熟 的 新一代 设计 队伍 和 消费市场 孕育出 含蓄 秀美 的 新 中式 风格 。   下面 是 30 款 样板房 ， 喜欢 古典 中式 风格 的 朋友 千万 不要 错过 哦 。 新 中式 风格 诞生 于 中国 传统 文化 复兴 的 新 时期 ， 伴随 着 国力 增强 ， 民族意识 逐渐 复苏 ， 人们 开始 从 纷乱 的 “ 摹仿 ” 和 “ 拷贝 ” 中 整理 出 头绪 。 在 探寻 中国 设计界 的 本土 意识 之初 ， 逐渐 成熟 的 新一代 设计 队伍 和 消费市场 孕育出 含蓄 秀美 的 新 中式 风格 。   下面 是 30 款 样板房 ， 喜欢 古典 中式 风格 的 朋友 千万 不要 错过 哦 。 
 家居 	 古典家具 上 摆放 不同 风格 的 小 配饰 ( 图 ) 大胆 地 尝试 一下 在 古典家具 上 摆放 一些 不同 风格 的 小 配饰 吧 。 白色 瓷 花瓶 与 古典 的 梳妆台 气质 相近 ， 而 彩色 的 托盘 、 金属 小 杯子 与 红色 的 小 风扇 错落有致 地 摆放 ， 为 老 家具 带来 更 多 现代 活泼 的 气息 。   
 家居 	 古典 意味 浓烈 家装   主卧 风情 ( 图 ) 古典 意味 浓烈 家装 冯小刚 的 欧式   古朴 奢华 家装 主卧 风情 冯小刚 的 欧式   古朴 奢华 家装 
 家居 	 古典 浪漫 风格 的 家居 布置 ( 图 ) 古典 浪漫 风格 的 家居 布置 紫色 系布艺 软饰 是 奢华 家居 的 最佳 选择 。 紫色 作为 一种 权势 地位 的 象征 ， 她 华丽 高雅 ， 紫色 与 黄色 为 互补色 ， 搭配 起来 显得 饱满 充实 ， 而 将 黄色 用 金色 来 代替 ， 奢华 高贵 的 气质 会 更加 突出 。 
 家居 	 古典 的 家   一朵 为 自己 盛开 的 花 ( 组图 ) “ 古典 的 风格 象征 着 我 是 一个 怀旧 的 人 ” 年轻 时 的 马薇 风风火火 ， 享受 着 身边 的 美好 — 爱情 的 甜蜜 和 事业 的 成功 ， 她 就 如同 城堡 里 的 公主 ， 生活 对 她 来说 就 像 艳阳 下 的 晴空 ， 没有 丝毫 的 阴沉 。 然而 之后 ， 一场 突如其来 的 变故 几乎 将 马薇 一拳 击倒 ， 城堡 的 轰然 倒塌 曾经 让 她 伤心 绝望 ， 然而 这 也 激发 了 马薇 身上 从来 没有 完全 爆发 出 的 生命力 ， 加上 朋友 的 相助 ， 康复 后 的 她 不再 是 乐享 他人 宠爱 的 公主 ， 有人 说 过 ， “ 一颗 破碎 的 心 被 修复 后 可能 会 比 原先 更为 宽广 ” 。 
 家居 	 古典 的 家具 与 中国 红布 艺软 装饰 搭配 ( 图 ) 提及 中式 风格 ， 人们 便会 想到 古典 的 家具 样式 与 中国 红布 艺软 装饰 搭配 。 而 现代 中式 风格 软装 在 色彩 方面 更加 丰富 ， 逐渐 由红 、 黄 扩展 到 高雅 的 紫 ， 静谧 的 橄榄绿 ， 艳丽 的 孔雀蓝 等等 ， 使 传统 的 中式 古典主义 风格 穿 上 了 现代 的 华丽 外衣 ， 有 了 新 的 延续 。 为 高级 而 古老 的 真皮 坐椅 搭配 靠垫 ， 具有 中国 诗画 韵味 的 图案 成为 独特 而 高贵 的 选择 。 清雅 的 灰色 透露 着 浓缩 的 文化 韵味 ， 与 另 一个 灰色 缎面 靠垫 搭配 起来 更显 高贵 ， 而 坐椅 旁边 的 条纹 靠垫 向 古老 的 气氛 中 投入 了 古典 的 西方 元素 ， 让 整个 角落 的 风格 多元 起来 。   
 家居 	 古天乐 VS 大S   绿色 家居 的 完美 搭配 ( 图 ) NO2 ： 古天乐 VS 大S   绿色 家居 的 完美 搭配   绿色 家居   代表 星座 ： 天秤座 秋天 出生 的 天秤座 的 人 举止 言行 十分注意 分寸 ， 他们 有着 相当 明显 的 个性 ， 重视 和平 与 和谐 ， 对于 争执 的 场面 宁可 早点 走开 ， 也 不愿 找个 容易 引起 囗 舌 之战 的 人 做伴 。 绿色 是 追求 温润 和 讲究 调养 的 颜色 。 代表 和平 、 友善 、 善于 倾听 、 不 希望 发生冲突 的 性格 ， 和平 是 天秤 的 口号 ， 那么 代表 和平 的 绿色 当然 最能 代表 天秤 们 的 个性 。 外表 温柔 的 大S ， 是 典型 的 天秤座 的 性格 ， 有 古道热肠 和 仁心 ， 富有 同情心 且 看中 感情 ， 处事 力求 公正 ， 诚实 温和 ， 是 个 理想主义者 ， 生性 浪漫 ， 有 自我牺牲 的 倾向 ， 而 为了 给 家里 养 的 小狗 祈福 ， 她 从 2003 年 开始 吃素 ， 而后 一直 持续 这 习惯 。 她 说 ： “ 我 从前 很 爱 吃 肉 ， 是 美食 主义者 。 现在 觉得 吃素 是 对 的 ， 因为 其他 动物 像 我 的 狗 一样 有 生命 ， 而 生命 都 是 重要 的 ， 因此 我 决定 吃素 。 ” 代表 健康 和平 的 绿色 最能体现 大S 的 本性 。 
 家居 	 古旧 家具   调出 年代 层次感 ( 组图 ) 用 贴近 自然 的 材质 混 搭 无论是 大件 家具 还是 小巧 的 配饰 ， 新 旧家具 搭配 首要 考虑 的 因素 应该 是 不同 材质 间 的 搭配 ， 通常 情况 下 木质 、 陶瓷 、 棉 、 麻 、 漆器 等等 是 最为 传统 的 家具 及 配饰 选用 的 材质 ， 能 给 人 带来 柔和 的 亲切感 ， 而 金属 、 玻璃 、 树脂 和 有机 材料 则 显得 更为 清新 、 硬朗 。 在家 的 不同 功能 区域 中 ， 需要 搭配 的 材质 也 要 有所区别 ， 既 可以 选择 气质 、 风格 相近 的 材质 搭配 出 卧室 的 温馨 和 舒适 ， 也 可以 利用 不同 特点 的 材质 ， 进行 混 搭 ， 在 反差 与 碰撞 中 营造 出 客厅 多样 活泼 的 氛围 。 
 家居 	 古朴 的 中式 风格 完美 的 融合 在 一起 ( 图 ) 花 5 万元 装修 的 105 平米 家 ， 浪漫 的 异国情调 、 古朴 的 中式 风格 完美 的 融合 在 一起 。 看看 屋主 是 怎样 做到 中西 混 搭 的 完美 结合 的 吧 。 
 家居 	 古朴 的 暖色调   透露 出 往日情怀 ( 图 ) 古朴 的 暖色调 , 透露 出 往日情怀 . 
 家居 	 古沙 CARDIFF 卡帝福 软床   更 多 细节 更 多 舒适 测评 总结 ： 相信 看 完 上述 测评 ， 各位 网友 们 对 这款 古沙 CARDIFF 卡帝福 软床 也 会 有 一个 全面 的 了解 。 下面 ， 测评 员 简单 总结 一下 ， 这 款 产品 为 简欧 风格 软床 ， 英国 皇室 家居设计 工艺 ， 全皮 设计 。 外观 简约 大气 ， 线条 流畅 优美 ， 采用 深 咖啡色 为主 色 ， 更 合适 中国 消费者 的 审美 。 其次 ， 舒适 的 床垫 更是 采用 古沙 独家 专利 — — 床垫 粉丝 ， 全棉 制作 ， 并 完全符合 维持 人体 睡眠 时 形成 的 自然 曲线 ， 使 睡眠 成为 真正 的 享受 。 更 值得一提的是 ， 在 床品 面料 采用 真丝 彩印 工艺 ， 手感 舒适 ， 尽显 高贵 、 奢华 。 其次 ， 它 具有 很 不错 的 舒适感 ， 特别 是 根据 人体工学 原理 设计 的 船型 床边 工程 更 增强 了 床 的 舒适度 。 另外 ， 它 的 拆洗 也 比较 方便 。 不过 皮质 家具 需 专业 打理 ， 相比 布艺 等 来讲 ， 需要 多 花心思 打理 。 企业 介绍 ： 英国 古沙 ( KUSHAM ) 家具 源于 英格兰 威尔士 ， 创建 于 1865 年 。 秉承 英国 皇室 的 家居设计 工艺 ， 百余年 来古沙 把握 着 世界 最前沿 的 睡眠 科技 ， 采用 先进 的 生产 管理模式 和 严格 的 品质 管理体系 生产 最 符合 人们 身体健康 的 软床 。 
 家居 	 另 一个 自然风 的 流行 走向 ( 图 ) 大地 的 黄土 色 也 是 另 一个 自然风 的 流行 走向 ， 搭配 贵气 的 金丝 绸缎 以及 薰 衣 紫 ， 给 人 好 莱 呜 的 繁华 气息 。 不过 ， 不要 每个 房间 都 ? 置 地 这样 金碧辉煌 喔 ， 闪亮 配件 的 丝绸 窗帘 和 灯罩 ， 只要 一两件 就 好 ， 不 需要 整个 房间 或是 整间 屋子 都 做 如此 装潢 ， 反而 失去 独特 感 。 
 家居 	 另一边 的 休闲 区 ( 图 ) 另一边 的 休闲 区 
 家居 	 另有 乾坤 的   现在 揭晓 谜底 ( 图 ) 这个 榻榻米 是 另 有 乾坤 的 ， 现在 揭晓 谜底 
 家居 	 只有 地面 上 一小块 空间 可以 利用 ( 图 ) 问题 ： 只有 地面 上 一小块 空间 可以 利用 。 解决 方法 ： 做 一个 有 八个 抽屉 的 装有 轮子 的 柜子 ， 一来 可以 自由 移动 ， 二来 可以 讲 洗漱 用品 分类整理 开来 。 
 家居 	 只要 设计 好   实际效果 还是 很 好 ( 图 ) 较 特殊 的 户型 ， 单层 是 115 平方 ， 南北 通透 ， 房型 很 规整 ， 层高 全部 是 5 米 ， 是 很多 人 头疼 的 挑高 户型 ， 当初 买房 时 也 担心 过 如果 隔层 的话 会 比较 压抑 ， 也 担心 工程量 太 大 ， 但是 现在 看 只要 设计 好 ， 实际效果 还是 很 好 的 。 
 家居 	 可以 利用 为 多功能 起居 空间 ( 图 ) 卧室 卧 ? 空间规划 为 和 室 ， 睡眠 时间 外 ， 可以 利用 为 多功能 起居 空间 。 架 高 地板 设置 小 阶梯 ， 将 卧 ? 与 客厅 明确 分别 开来 ， 并 利用 两者 地板 间 的 落差 ， 规划 抽屉式 的 收纳 柜 ， 增加 小 空间 ? 的 收纳 功能 。 
 家居 	 可以 同时 享受 这件 设计 奇妙 的 座椅 ( 图 ) 产品 Loopita 提供 了 多个 座位 ， 几个 人 可以 同时 享受 这件 设计 奇妙 的 座椅 。 它 螺旋 的 形状 展现出 了 设计师 的 奇思妙想 。 
 家居 	 可以 随 家中 空间 做 适度 的 搭配 ( 图 ) 这组 也 是 小巧 可爱 ， 要 L 型 或是 一 字型 ， 可以 随 家中 空间 做 适度 的 搭配 ～ 
 家居 	 可爱 厨房 让 做饭 更 有 乐趣 ( 图 ) 小户型 装修 最 考验 人 的 审美 和 布局 功力 ， 看 下面 的 这组 小户型 ， 真正 感觉 到 了 设计 的 美感 和 创意 。 
 家居 	 可爱 的 沙发 什么 色调 最 适宜 ( 图 ) 女孩子 的 闺房 放 一把 可爱 的 沙发 什么 色调 最 适宜 呢 ？ 当然 是 粉嫩 的 少女 色调 了 ， 别说 已经 是 熟女 的 你 了 ， 这些 超级 的 小可爱 ， 就 连 我们 的 父母 也 绝对 是 爱不释手 呢 。 
 家居 	 可 规划 空间 三房两厅 ( 图 ) 英式 古典 人文 的 空间设计 ， 设计 对象 针对 一般 家庭 ， 可 规划 空间 三房两厅 ， 现在 就 带 大家 参观 一下 这 充满 浓厚 的 英式 风格 套房 ！ 
