家居 	 家装 减碳 从 点滴 来 做起   实现 家居 装修 低碳 的 目标 “ 低碳 节能 ” 之风 吹遍 大江南北 的 时候 ， 也 深入 家装 人士 之心 。 作为 “ 定制 化 ” 程度 很 高 的 行业 ， 消费者 的 选择 决定 了 原材料 的 选择 、 生产 的 过程 和 成品 的 呈现 ， 只有 消费者 和 企业 一起 努力 ， 才能 真正 实现 “ 减碳 ” 。 在 装修 过程 中 怎么 做 才能 实现 “ 低碳 ” 目标 呢 ？ 专家 表示 ， 材料 、 设计 、 工程 哪个 环节 都 不能 少 。 一 、 设计 ： 简约 、 自然 最佳 低碳 家装 要 从 源头 — — 设计 抓起 。 首先 ， “ 轻 装修 、 重 装饰 ” 的 设计 理念 ， 可以 让 整体 工程 的 “ 碳 排量 ” 降下来 ， 在 低 碳 之 余 还 为 家装 费用 “ 减负 ” 。 其次 ， 空间设计 上应 考虑 利用 自然资源 、 自然通风 、 多向 采光 ， 减少 空调 及 照明设备 的 使用 。 采用 一些 特殊 的 节能 系统 ， 像 红外线 感应 灯光 开关 系统 实现 “ 人 走 灯 熄 ” 来 节约 电能 。 二 、 材料 ： 选用 环保 、 节能产品 在 设计 选材 上 ， 尽量 选用 环保 、 易 再生 、 可回收 的 装饰 材料 ， 少用 或 不用 纯实 木地板 ， 多用 复合 强化 地板 ， 如 竹地板 、 竹胶 饰面板 等 ； 用 水性漆 而 尽量 不用 油性 漆 ； 选用 工厂 加工 好 的 成品 或 半成品 。 在 保证 使用 功能 的 情况 下 ， 可 尽量 选择 耗电量 、 用水量 低 的 日常 用具 ， 减少 资源 浪费 和 水电 费用 支出 。 一些 可以 自行 调节 能耗 功能 的 产品 也 可 考虑 。 如 具有 随控 开关 的 面板 可以 方便 地 将 电器 电源 关掉 ， 避免 其 长期 处于 待机 状态 而 耗电 ， 还 可以 保护 电器 ； 带有 定时 控制阀 的 采暖系统 在 家中 无人 时 可 调低 室温 ， 待 需要 提高 温度 时 ， 使用 自控 调节阀 定时 调整 ， 达到 节能 的 效果 。 家装 公司 减碳 要点 家装 公司 的 所作所为 也 能 做到 减碳 。 1 、 节省 施工 照明用 电 ： 日常 施工 照明用 电 ， 采用 节能灯 取代 白炽灯 ； 油工 打磨 腻子 时用 防爆灯 ， 采用 瓦数 更 低 的 白炽灯 。 2 、 节省 施工 机具 用电 ： 采用 低 功率 气泵 、 电钻 取代 大功率 气泵 、 电钻 ； 采用 非 电动式 陶瓷 切割机 取代 大功率 云母 机 。 3 、 节省 施工 用水 ： 现场 使用 临时 水盆 ， 洗手 时 水盆 下水 接入 专用 存 水桶 内 ， 洗手 水 用于 冲厕 等 。 三 、 施工 ： 点滴 做起 多头并进 施工 工程 部分 是 家装 的 重点 ， 此 过程 减碳 一方面 要 在 过程 中 主动出击 直接 减少 碳 排量 ， 另一方面 是 为 家装 完成 后 的 “ 碳 排量 ” 打下基础 ， 做好 “ 卫士 ” 工作 。 1 、 直接 减排 瓷砖 采用 薄 贴法 ， 用 石膏板 轻质 隔墙 部分 代替 砖 砌墙 以及 采用 合理 防水 涂布 ， 都 可以 做到 直接 减排 。 专家 介绍 ， 传统 铺 贴法 采用 水泥砂浆 作为 瓷砖 粘贴 材料 ， 粘贴 层 厚度 为 20 - 30mm 。 薄贴 法则 采用 新型 的 瓷砖 粘贴 材料 ， 粘贴 层 厚度 仅为 2 - 4mm ， 材料 为 成品 ， 较 传统 方法 节省 大量 的 材料 和 施工 时间 ， 粘贴 强度 还 优于 传统 方法 。 出于 格局 改造 需要 ， 新建 墙体 也 很 常见 。 黏土砖 的 生产 存在 高能耗 、 严重 污染环境 的 问题 ， 用 其 砌 新建 墙 还 会 加重 楼梯 承载 。 石膏板 则 质轻 、 耐火 、 保温 ， 用 它 砌筑 轻质 墙 将 会 大为 节省 煤 、 水泥 用量 ， 从而 减少 碳 排量 。 2 、 减碳 卫士 更换 优质 门窗 、 做好 外墙 内 保温 、 减少 水电 备用 端口 等 可 作为 房屋建筑 一道 防止 能量 损失 的 墙 。 一些 老房 的 门窗 老化 、 生锈 ， 已经 成为 能源 损耗 的 “ 罪魁祸首 ” 。 年志仁 表示 ， 最好 能够 换上 密封 性能 好 的 门窗 产品 ， 铁窗 、 木窗 可 换成 塑钢窗 或 断桥 铝合金 窗 ， 窗玻璃 可 换成 中空 双层 玻璃 或 真空 双层 玻璃 。 做好 外墙 内 保温 系统 可以 减少 夏季 制冷 、 冬季 采暖 的 能耗 。 位于 顶层 、 西 向 、 把 角 的 户型 可 在 与 外部 相接 的 墙体 内侧 做 一个 保温层 ， 实现 隔热 、 保温 、 隔音 。 不少 业主 在 装修 中会 将 今后 可能 用到 的 端口 位置 都 预留 出来 。 事实上 ， 这些 备用 端口 的 使用率 极低 ， 不仅 会 造成 材料 浪费 ， 备用 强电 端口 还会 产生 电能 损耗 ， 水路 端口 会 留下 渗漏 、 爆管 等 隐患 ， 建议 合理 预留 端口 ， 不要 一味 求全 。 无绳电话 、 电冰箱 等 需要 长期 通电 使用 的 电器 ， 可 在 总控 开关 中 单独 布线 。 不 需用 电时 可 将 总控 开关 中 的 其他 开关 关掉 ， 既 可 减少 电能 损耗 ， 又 可 保证 电器 安全 ， 最大 程度 避免 电路 隐患 。 我要 评论 
 家居 	 创造 了 旧 世纪 风格 的 设计 ( 图 ) 多功能 的 橱柜 与 自然 的 材质 表面 创造 了 旧 世纪 风格 的 设计 。 引人注目 的 14 英尺 高 铜制 烟囱 在 专业 的 烹饪 台面 之上 。 枫木 家具 的 染色 效果 创造 了 复古 的 装饰 氛围 。 
 家居 	 创造 古典 的 传统 风格 厨房 ( 图 ) Marchi 专门 研究 创造 古典 的 传统 风格 厨房 。   这些 经典 乡村 模式 的 厨房 ， 即使 是 您 第一次 看见 ， 都 会 有 莫名其妙 地 熟悉 感 。   
 家居 	 创造 独特 视觉 印象 ( 图 ) 大 尺寸 的 吊灯 在 创造 独特 视觉 印象 的 同时 ， 光源 的 造型 作用 更加 明显 。 与 色彩 变化 丰富 的 床品 相互 衬托 ， 愈发 显得 生动有趣 。   
 家居 	 初春 的 阳光 更 温暖 的 笑容 ( 图 ) 吕思清 向 我们 走来 ， 带 着 比 初春 的 阳光 更 温暖 的 笑容 。 那个 熟悉 的 面孔 ， 比 我们 想象 中 更 随和 亲切 。 有 瞬间 的 感觉 ， 眼前 的 这个 人 似乎 不是 那个 声名显赫 的 音乐家 ， 而是 一个 好客 的 邻居 。 然而 一 转身 ， 艺术家 的 洒脱 和 随性 还是 在 举手投足 间 流露 。 他 走 到 客厅 的 沙发 前 ， “ 我们 在 这儿 聊 吧 ， 这里 阳光充足 ， 是不是 还 不错 ？ ” 然后 他 坐在 沙发 里 ， 调整 到 让 自己 舒服 的 姿势 。 暖色 容易 让 人 感觉 放松 ， 在 这种 松弛 而 浪漫 的 氛围 里 ， 开始 与 他 畅谈 “ 家 ” 。 他 的 太太 抱 着 小儿子 从 婴儿 房走 出来 ， 看见 我们 ， 这个 娇小 的 女人 露出 宽厚 的 笑容 。 吕思清 向 我们 介绍 ： “ 这 是 我 的 太太 ， 羊羊 。 ” 吕 太太 有着 和 丈夫 “ 神似 ” 的 随和 ， 跟 我们 聊着 家长里短 。 “ 大儿子 去 附近 的 幼儿园 了 ， 这是 小儿子 Alex 。 ” 男孩 只有 七个 月 大 ， 但 却 不 认生 ， 在 妈妈 的 怀里 好奇 地 对 着 我们 笑 。 看见 儿子 ， 吕思清 神情 活泼地 逗 他 说话 ： “ Alex ？ 叫 爸爸 ， 爸 … … 爸 。 ” 他用 最 原始 的 声音 与 儿子 对话 ， 儿子 还 不会 叫 “ 爸爸 ” ， 只 对 着 他 咧开嘴笑 。 
 家居 	 利用 阁楼 空间   要 面积 更要 安全 ( 组图 ) 如今 ， 越来越 多 的 开发商 提供 超过 正常 层高 一倍 以上 的 挑空 楼层 ， 那么 这 类 房屋 怎样才能 提高 使用 效率 呢 ? 业内 专家 表示 ， 搭建 阁楼 是 利用 空间 最 常见 的 办法 ， 但 搭建 阁楼 一定 要 安全 先行 ， 切不可 盲目 地 追求 面积 。 
 家居 	 别具 情调 的 卫浴 设计 ( 组图 ) 时尚 、 优雅 是 卫浴 装饰 主旋律 ， 淡 色调 仍 是 一个 主要 趋势 ， 它 让 置身其中 的 人 获得 最大 的 清洁 和 轻松 ， 它 保证 贯通 的 视野 就 能 给 人 疏朗 畅快 之感 。 设计师 深谙此道 ， 不 按照 通常 的 方式 安排 洁具 位置 ， 不循墙 而建 ， 于是 ， 将 盥洗 盆 安置 在 房间 一角 ， 解构 寻常 的 卫浴间 安排 ， 同时 也 解放 了 使用者 的 精神 束缚 ， 在 工作 之 余 ， 信手拈来 一张 坐垫 便 可 享受 到 瑜伽 所 带来 的 精神 解放 ， 卫浴间 才 成 了 名副其实 的 健康 休闲 之地 。 镜子 下 巧妙 地 遮掩 了 水管 ， 并 提供 了 摆放 饰物 的 边沿 。 整个 设计 布局合理 ， 整洁 大方 ， 如同 窗外 射入 的 阳光 般 舒适 惬意 。 
 家居 	 别的 都 是 淡绿色   卧室 则 是 淡紫色 ( 图 ) 这是 客厅 一角 。 橙色 主题 墙 ， 别的 都 是 淡绿色 ， 卧室 则 是 淡紫色 。 当初 在 装修 时 ， 所有人 都 反对 ， 用 这么 多 色彩 。 现在 庆幸 ， 当初 坚持 了 。 
 家居 	 别 盲目 追求 面积 ( 图 ) 别 盲目 追求 面积 一般 情况 ， 人们 将 阁楼 理解 为 利用 房屋 顶层 斜坡 搭建 的 小房间 ， 实际上 ， 阁楼 不 一定 位于 房屋 顶层 ， 只要 是 利用 房屋 内部空间 搭建 的 房间 都 可以 称之为 阁楼 ， 其 地面 平台 就 叫 夹层 ( 也 叫 空中 夹层 ) 。 由于 搭建 阁楼 可以 增加 房屋 的 使用 效率 ， 加之 现在 房价 居高不下 ， 有 的 业主 认为 阁楼 面积 越大越 好 。 据 专家 介绍 ， 阁楼 面积 要 根据 墙体 承重 情况 来 决定 ( 房屋结构 、 材料 等 不同 ， 其 墙体 的 承重 情况 不同 ) ， 阁楼 面积 过大 可能 会 造成 安全隐患 ， 因此 业主 不可 盲目 地 追求 阁楼 面积 。 此外 ， 搭建 阁楼 还要 有 足够 的 层高 ( 楼板 上 表面 到 相邻 上层 楼板 上 表面 之间 的 距离 ) ， 一般 原 房屋 层高 宜 达到 5.3 米 。 按照 中国 人 的 生活习惯 ， 搭建 阁楼 要 先 满足 下层 空间 的 正常 使用 ， 因此 下层 空间 净高 ( 楼板 上 表面 到 上层 楼板 下 表面 之间 的 距离 ) 要 保证 有 2.5 米左右 。 如果 搭建 的 阁楼 是 供 人 长期 居住 使用 ， 那么 阁楼 净高 最低 不 低于 2.2 米 ， 这样 才能 保证 居住 的 舒适度 。 阁楼 最短 两边 的 跨度 也 不能 太 大 ， 因为 跨度 太 大会 影响 楼板 的 承重 能力 ， 特别 是 在 使用 槽钢 搭建 的 情况 下 ， 其 跨度 一般 不宜 超过 4 米 ， 最大 不得 超过 6 米 。 
 家居 	 别致 的 花盆 就 更是 锦上添花 ( 图 ) 在 客厅 里 摆放 一些 绿植 和 鲜花 能 给 房间 增加 生气 ， 如果 再配 上 几个 别 ? 的 花盆 就 更是 锦上添花 了 。   
 家居 	 制作 工艺 再 简单 点 ( 图 ) 手工 压花 如果 想 制作 工艺 再 简单 点 ， 那么 可以 直接 将 鲜花 去掉 叶子 ， 也 在 书 中间 ， 成为 压花 书签 ， 很 是 精致 ， 让 人 感觉 有种 被 感召 回归自然 的 冲动 。 
 家居 	 制作 过程 非常简单 ( 图 ) 用 编织成 格子 的 纸垫 作餐 垫 或者 桌布 。 制作 过程 非常简单 ： 将 纸 剪成 条状 ， 编在 一起 ， 在 边缘 用 少量 胶 固定 。 
 家居 	 制造 清凉 的 居室 境界 ( 图 ) 让 我们 在 制造 清凉 的 居室 境界 中 各显身手 ， 冰 白色 的 沁凉 、 海洋 蓝 的 清新 、 芬芳 的 绿 、 柔美 的 粉 、 凝重 的 银灰 、 火热 的 红 … … 色彩 的 巧妙 运用 与 合理 搭配 。   
 家居 	 前卫   复古   混 搭   最 MAN 的 时尚 卧室 设计 ( 组图 ) 型 男类 ： 儒雅 绅士 青睐 风格 ： 西式 复古 硬派 表现 1 ： 常 以 家宴 招待 客人 的 商务 男士 ， 除了 要 拥有 一个 精密 如 实验室 的 超大 厨房 ， 还要 布置 出 一方 充满 亲和力 的 就餐 区 。 厌倦 宛如 谈判桌 的 镶金 欧化 餐桌 ， 让 乡村 风格 占据 主导 。 积木 一般 方正 童趣 的 餐桌椅 ， 不乏 交叉 、 点缀 的 精妙 细节 。 青石 方板 的 地面 ， 搭配 山水 图案 的 壁纸 ， 让 吃饭 回归 简单 温馨 的 境界 。 Copy ： 整体 黄灰 的 色调 中 ， 明蓝 的 窗帘 、 白底 印花 的 青瓷 餐具 、 古典 花鸟 的 挂盘 有效 为 空间 提亮 。 带 吊扇 的 复古 灯 乡村 气 十足 。 硬派 表现 2 ： 高耸 的 斜 屋顶 让 青石 粗朴 壁炉 得以 充分 展现 ， 天花 上 的 叠加 木条 呼应 了 落地 门窗 ， 似乎 在 任何 空间 都 与 自然 融为一体 。 美式 沙发 的 宽大 舒适 让 会客 或 自娱自乐 都 了 无障碍 ， 沙发 禁脏 的 面料 和 土黄 印花 的 大幅 地毯 ， 在 无限 舒适 的 前提 下 又 免除 了 清洁 的 繁琐 。 Copy ： 将 木 、 石 、 皮 、 布 材质 巧妙 穿插 ， 皮质 沙发 的 鎏 钉 设计 画龙点睛 ， 茶几 的 铁艺 框架 别出心裁 。 硬派 表现 3 ： 古典风格 的 雕花 书房 家具 常常 流 于 没有 特色 ， 如果 在 书柜 之间 的 空 墙上 贴合 艳粉 做 旧 纹样 壁纸 ， 书房 的 格调 立刻 上升 ， 斑驳 的 划线 、 摩擦 印迹 弱化 了 粉色 的 妖艳 ， 有着 经年 使用 的 沧桑感 。 适当 点缀 考究 细腻 的 装饰品 ， 在 把玩 之间 尽享 生活 情趣 。 Copy ： 帆船 模型 、 袖珍 罗盘 是 男性 理想 的 表征 ， 而 手摇 仿古 话机 、 烛台 式 台灯 、 牵狗 猎装 美女 铜像 则 充满 耐人寻味 的 细节 美 。 
 家居 	 前卫 家居   不 对称 设计 成为 潮流 ( 组图 ) 前卫 作品 1 — — 活动 长桌 细节 看点 — — 内侧 格纹 造型 上 的 极度 简洁 让 这张 长桌 从 侧面 看 去 已经 简化 成 了 几根 黑色 线条 。 带有 中式 条案 的 隐约 造型 特征 ， 却 又 在 看似 无意之中 让 桌子 有 了 前卫 的 “ 折叠 ” 功能 ， 打破 中规中矩 的 造型 束缚 ， 给 长桌 增添 了 生命 的 活力 。 这种 只可意会 不可言传 的 巧妙 混 搭 使得 人们 很 容易 便 被 它 的 独特 魅力 所 征服 。 低调 并 不 意味着 平庸 ， 虽然 桌子 表面 是 层 并 不 亮眼 的 哑光 黑色 ， 但 它 最 精彩 的 设计 却 含蓄地 藏 在 桌子 底面 和 内侧 — — 简简单单 的 方格 纹路 ， 同样 简简单单 的 黑白 配色 调 ， 却 营造 出 一种 不 简单 的 动人 美感 。 
 家居 	 前卫 的 图钉 装饰 ( 图 ) 7 、 前卫 的 图钉 装饰 材料 ： 普通 木制 相框 、 图钉 把 图钉 按照 规则 的 排列 方式 钉 在 相框 上 ， 一遍 完成 之后 ， 再用 图钉 把 有 空隙 的 地方 再 铺 一层 ， 形成 厚重 的 金属 感 。 注意 ， 应该 尽量 选择 有 一定 厚度 的 背板 ， 避免 图钉 穿透 背板 造成 不必要 的 伤害 。 
 家居 	 前卫 色彩 家居设计   挑战 视觉 ( 组图 ) 这 是 由 瑞典 设计师 Tham   &   Videg ? rd   Hansson 设计 的 一个 充满 色彩 的 空间 ， 非常 惊叹 ， 设计师 能够 如此 大胆 地 在 家居 空间设计 上 运用 色彩 ， 让 色彩 装饰 的 空间 带给 我们 的 美妙 感沉 。 空间 中 运用 了 大量 的 过渡性 色彩 ， 使 各 部分 空间 的 颜色 有机 的 联系 在 一起 ， 过渡 非常 自然 ， 除去 了 空间 中 单一 色彩 的 枯燥 ， 反而 给 空间 带来 一些 活泼 的 氛围 ， 偶然间 也 会 给 生活 于 空间 中 的 人们 带 了 一丝 的 新 喜 。 除了 色彩 运用 注意 合理 搭配 之外 ， 色彩 还 运用 了 适当 的 留白 ， 兼顾 人们 的 视觉 空间 ， 使 颜色 的 运用 ， 统一 而 并 不 单一 。 
 家居 	 剪成 和 棉布 大小 一样 的 尺寸 ( 图 ) 第三步 ， 先 把 薄 棉絮 剪成 和 棉布 大小 一样 的 尺寸 ， 再 在 这个 尺寸 的 基础 上 把 薄 棉絮 剪掉 大约 1 厘米 的 边 ( 也 就是 薄 棉絮 的 尺寸 要 比 棉布 小 一些 ) 。 
 家居 	 功能   掩饰 装修 遗憾 和 瑕疵 ( 图 ) 功能   掩饰 装修 遗憾 和 瑕疵 精心 装修 的 房子 ， 还会 留有 一些 遗憾 或 瑕疵 ， 用软 装饰 来 掩饰 这些 遗憾 或 瑕疵 对 房间 的 美观 可 起到 妙手回春 的 作用 。 如果 房间 不够 明亮 ， 可以 用布 质 组织 较为 稀松 、 花纹 是 几何图形 的 印花布 做 窗帘 ， 同时 ， 窗帘 上 的 图案 尽量 和 墙饰 统一 ， 这样 能够 让 人 的 视野 更 开阔 。   假如 房间 显得 太空 ， 那么 可以 选择 较 柔软 、 蓬松 的 材料 ， 用 具有 吸光 质地 的 材料 来 装饰 地板 、 墙壁 ， 而 窗户 则 大量 选用 有 对比 效果 的 材料 ， 或 采用 颜色 鲜亮 的 窗帘 、 床罩 ， 使 其 与 地板 和 墙壁 形成 鲜明对比 ， 改变 房间 空旷 、 单调 的 感觉 。 
 家居 	 加以 零星 别致 的 摆设 ( 图 ) 快乐 来 临时 ， 一切都是 美好 的 ， 清新 的 色调 ， 加以 零星 别致 的 摆设 ， 体现 出 充满生机 的 生活态度 。 
 家居 	 加入 其它 颜色   白色 仍然 是 主调 ( 图 ) 即使 加入 其它 颜色 ， 白色 仍然 是 主调 
 家居 	 动物 制造 自然 趣味 ( 组图 ) 无数 天才 设计师 们 以 他们 特有 的 方式 令 动物 成为 主角 ， 无论是 时装 还是 家居 界 ， 动物 都 越发 受宠 。 灰白 黑 的 色调 ， 红 与 绿 的 点缀 ， 高头大马 的 灯饰 ， 似乎 令人 想到 了 欧洲人 在 户外 摆放 的 巨型 国际象棋 ， 有 一丝 博弈 的 感觉 ； 而 桌面上 一金 一白 的 小猪 ， 又 将 这份 冲击 化做 了 嫣然一笑 。 
 家居 	 动用 艺术细胞 让 米色 发挥 到 极致 ( 图 ) 当 米色 发挥 到 极致 的 时候 ， 主人 开始 动用 自己 的 艺术细胞 。 为 米色 配上 淡粉 、 淡绿 ， 让 这个 特定 的 色彩 变得 生动 起来 。 羽西 说 这样 搭配 是 有 道理 的 。 就 拿 沙发 来说 ， 米色 的 布艺沙发 因为 体积 大会 显得 沉闷 ， 所以 给 它 配上 浅绿 的 靠垫 来 调剂 一下 ， 那绿 和 壁炉 上 的 装饰品 的 色泽 是 一致 的 ； 茶几 上 的 粉色 花束 也 是 用来 调节 气氛 的 。 
 家居 	 动静 皆宜   2 种 提亮 色彩 方案 改造 黯淡 客厅 ( 组图 ) 原来 黯淡 的 客厅 ， 没有 色彩 的 墙面 和 家具 ， 虽然 舒适 但 却 毫无 阳光 气息 。 PClady 编辑 特意 将 客厅 问题 放大 ， 提出 了 两种 改造 厚 的 方案 ， 你 会 看到 前后 对比 ， 它 变成 了 充满 色彩 和 魅力 的 场所 ， 是 你 和 家人 朋友 聚会 的 美好 空间 ， 让 你 享受 更 多 的 难忘 时光 。 
 家居 	 勇气 尝试   把 墙面 刷成 深 色调 ( 图 ) 如果 你 有 勇气 尝试 ， 也 可以 把 墙面 刷成 深 色调 。 
 家居 	 化腐朽为神奇   八个 小 技巧 实现 美丽 家居 ( 组图 ) 方式 一 ： 对比 对比 是 家装 设计 中 惯用 的 一种 方式 ， 从事 过 系统 学习 艺术 理论 的 人 都 知道 ， 这种 方式 是 艺术设计 的 基本 定型 技巧 ， 它 把 两种 不同 的 事物 、 形体 、 色彩 等作 对照 ， 如 方与圆 、 新 与 旧 、 大 与 小 、 黑与白 、 深 与 浅 、 粗 与 细 等等 。 通过 把 两个 明显 对立 的 元素 放在 同一 空间 中 ， 经过 设计 ， 使 其 既 对立 又 和谐 ; 既 矛盾 又 统一 ， 在 强烈 反差 中 获得 鲜明对比 ， 求得 互补 和 满足 的 效果 。 
 家居 	 北京城 内 的 椅子 ( 组图 ) 似乎 每天 呆 在 椅子 上 的 时间 比 呆 在 床上 的 时间 更久 了 ， 一把 舒适 的 椅子 显 的 格外 重要 ， 因此 本期 专题 ， 我们 选择 了 北京 的 椅子 。   见识 了 据称 是 世界 上 最 舒适 的 椅子 ， 椅子 的 组成部分 能 根据 不同 的 姿势 自动 进行 调节 ， 身体 始终 处在 温柔 的 包围 中 ； 也 见 过 那些 经典 的 椅子 们 ， 有 的 外观 就 迷人 ， 有 的 看上去 普通 ， 但 在 细节 处 却 让 人 惊叹 设计师 的 天赋 … … 我们 根据 椅子 的 不同 类型 ， 把 它们 分为 休闲椅 ， 办公椅 ， 餐椅 ， 阳台 椅 ， 儿童 椅 和 一些 搞怪 的 椅子 。   也 有 一些 遗憾 ， 本想 搜出 很多 又 漂亮 又 舒适 的 办公椅 ， 为 那些 一天到晚 在 电脑前 的 人 ， 但 发现 办公椅 少 的 可怜 ， 而且 办公椅 的 设计 也 远 不及 休闲椅 的 高度 。 办公椅 是 如今 上班族 使用 最多 的 椅子 ， 即使 下班 了 很多 人 也 依然 呆 在 电脑 桌前 ， 希望 品牌 们 可以 投入 精力 到 办公椅 的 设计 中 。   
 家居 	 北京 香格里拉 总统套房 ( 图 ) 北京 香格里拉 总统套房   香格里拉 套房 专门 位于 酒店 第 24 层 。 面积 由 140 平米 。 有 客厅 、 餐厅 、 书房 、 卧室 、 宽阔 的 浴室 和 一个 厨房 。   客厅 与 餐厅 比邻 ， 布置 有 柔软 的 沙发 和 雅致 的 家具 。   书房 和 卧室 被 一面 可 移动 的 开放式 的 木质 隔墙 分开 。   在 浴室 有 一个 豪华 的 按摩 型 浴缸 和 嵌 在 墙上 的 LCD 显示屏 。   小厨房 里 除 放置 了 可 制作 卡布奇诺 的 咖啡机 ， 冰箱 和 微波炉 外 ， 还 放置 了 一个 齐全 的 储物柜 排放 了 精美 的 中国 陶瓷 器皿 。   
 家居 	 北欧 风情 一直 以 其 见解 明快 ( 图 ) 北欧 风情 一直 以 其 见解 明快 的 设计 受到 年轻人 的 喜爱 。 这套 素雅 的 案例 ， 无处 不 透露 着 主任 对于 “ 纯粹 ” 生活 得 追求 。 简洁 的 线条 ， 明快 素雅 的 颜色 ， 开放 的 空间 格局 都 让 人 感觉 到 置身 北欧 的 茫茫 森林 当中 ， 感到 无比 的 轻松 与 愉悦 。 
 家居 	 北美 的 休闲 浪漫 式 ( 图 ) 可以 挂 在 阳台 或 花园 中 ， 三两 知已 到访 ， 一起 品茶 ， 其乐融融 。 非常 独特 也 增加 了 吊椅 的 休闲 韵味 。 
 家居 	 十招 让 小 客厅 发挥 最大 作用 ( 组图 ) 由于 除 客厅 以外 的 其它 空间 如 卧室 、 厨房 、 卫生间 、 阳台 等 的 使用 功能 限制 ， 以及 日常生活 需要 ， 装修 后 的 家里 的 许多 物件 都 只能 摆放 在 客厅 里 。 而 客厅 的 空间 又 能 有 多 大 呢 ？ 工薪阶层 该 如何 在 狭小 住房 空间 中 ， 让 小 客厅 发挥 最大 的 作用 ， 以下几点 可供参考 ： 第一 、 适当 点缀 善用 脑筋 ， 不 贪小便宜 冲动 大批 摆设 物件 ， 也 不 购买 太 多 应景 的 饰物 ， 偶尔 空间 的 留白 更 可以 衬托出 主体 的 气氛 。 第二 、 旧物 新 用 家中 原有 的 家居用品 有时 只要 稍微 装扮 一下 ， 或 加点 配饰 ， 又 可 产生 一种 新面貌 。 例如 旧家具 根据 现在 的 装饰 风格 套个色 或 加块 新 桌布 等 ， 又 可 和 新家 融为一体 。 
 家居 	 千万别 让 你 的 床 成为 泡泡 鞋 ( 组图 ) 父母 那 一辈 流传 下来 的 旧 箱子 ， 为什么 就 不能 改造 为 床头柜 呢 ? 上面 安置 一个 同样 色泽 的 拖盘 ， 接受 窗口 的 阳光 ， 该是 个 多么 温暖 的 早晨 。 在 这样 的 搭配 中 ， 你 还 可 看到 地面 是 青 赚 铺就 的 ， 没 了 地板 的 光滑 与 细腻 ， 但是 它会 更加 坚硬 与 质感 。 
 家居 	 千变万化 室内 景观 的 关键因素 ( 图 ) 6 . 艺术品 是 杰茜 千变万化 室内 景观 的 关键因素 ： 黑白照片 上 的 楼梯 图案 ， 营造 出 故意 重叠 的 视觉效果 。 而 卧室 的 黑白 色调 ， 则 充满 浓浓的 怀旧 味道 。 用 相框 来 展示 黑白图片 的 花费 并 不 昂贵 ， 同时 黑 、 白色 的 相框 本身 ， 也 形成 有 特色 的 反差 ， 突显出 主人 自己 的 个性 。 至于 相框 中 展示 的 内容 ， 绝大部分 是 杰茜 从 跳蚤市场 ， 或者 二手 商店 中买 回 的 旧书 中 剪下来 的 。 “ 有时候 我 不 确定 自己 需要 什么 ， 我 甚至 会 将 一张 很 吸引 人 的 卡片 放在 相框 里 。 ”   杰茜 说 。 
 家居 	 千篇一律 的 绿色 家 总会 让 人 眼晕 ( 图 ) 春天 来 了 ， 千篇一律 的 绿色 家 看起来 总会 让 人 眼晕 ， 尝试 一种 浪漫 温情 的 色彩 。 看看 把 家 打 造成 淡淡的 温 蓝色 ， 将 是 多么 美妙 的 一件 事 。   这套 案例 的 设计师 是 朱力 。 它 看起来 有 一种 慵懒 的 气质 ， 就 像 刚刚 从 一个 甜美 的 梦境 中 醒来 ， 懒懒 的 伸 着 懒腰 。 温 蓝色 不急 不慢 地 衬托出 整个 家 的 纯净 。 
 家居 	 半 开放 的 陈列柜 组 ( 图 ) 量身 订制 视听室 中 的 陈列柜 ， 便 可 轻松 打造出 空灵 舒适 的 独特 感受 。 电视 音响设备 令人 为难 之 处 在于 它 既 是 生活品质 的 象征 但 又 占据 大量 空间 ， 还有 各种 连接 电缆 ， 很 容易 让 享受 的 空间 变得 零乱 不堪 。 因此 应 以 实用 为 设计 原则 ， 打造 不 一样 的 视听 空间 。 搁架 系列 应 能 支撑 所有 设备 的 重量 ， 而 专门 设计 的 电视 音响 单元 ， 结构合理 ， 底座 更 稳固 ， 能 消除 不必要 的 震动 ， 从而 确保 声音 质量 。 许多 电视 音响 单元 都 有 抽屉 ， 专门 用来 存放 CD 和 DVD 。 即使 希望 DVD 播放器 能 隐藏 起来 看不见 ， 玻璃 柜门 也 仍 能 确保 遥控器 与 播放器 相 呼应 。 最后 应 做好 电线 、 电缆 的 隐藏 ， 使 整组 柜体 看起来 沉稳 大气 。   
 家居 	 半透明 板 过滤   显得 格外 柔和 浪漫 ( 图 ) 3 . 星光 闪耀 床头 这块 床头 板能 让 你 联想 到 圣诞节 时 透过 结霜 的 玻璃窗 看 星星 的 情景 。 它 是 由 结构 简单 的 木质 框架 组成 ， 首先 将 它 钉 在 墙面 上 ， 并 在 木 框架 后面 挂 上 几串 小灯 ， 你 可以 选择 节日 或开 PARTY 后 剩余 下 的 彩灯 。 节日 串灯 的 光线 透过 半透明 板 过滤 ， 显得 格外 柔和 浪漫 。 灵感 之 处 ： 营造 浪漫 氛围 的 同时 ， 也 可以 作为 卧室 的 辅助 光源 。 
