家居 	 给 人 带来 不 一样 的 视觉效果 ( 图 ) 这种 两边 纤薄 的 沙发 ， 给 人 带来 不 一样 的 视觉效果 ， 配 上 两个 传统 的 鸡尾酒 小桌 ， 增加 了 空间 的 实用 功能性 。 墙面 的 空间 ， 用 一组 别致 的 瓷器 作为 展示 ， 聚集 了 整个 空间 的 焦点 。 
 家居 	 落地 飘窗 的 花艺 装饰 ( 图 ) 很多 人 在 家庭 的 软 装饰 中 都 会 选择 挂画 、 布艺 、 瓶子 等 ， 但是 你 知道 吗 ， 现在 花艺 在 家居装饰 中 所 扮演 的 角色 一点 也 不 比 上述 的 选择 逊色 ， 反而 更显 雅致 、 时尚 。 台湾 花艺师 吴尚洋 的 这个 家居 花艺 经典 案例 ， 就 很 好 地 说明 了 这 一点 。 嘿嘿 ， 心动 了 吧 ， 那 就 赶快 行动 吧 ！   
 家居 	 落花 满地 的 藤萝 花架 ( 图 ) 山石 在 整个 园子 的 运用 颇为 广泛 ， 园中 池塘 的 四壁 是 鹅卵石 垒 就 而 成 ， 圆润 而 光洁 ； 假 山石 侧立 一旁 ， 俯瞰 整座 庭院 ； 石墩 是 外出 游览 时带 回来 的 ， 简单 地搁 在 一角 ， 日晒雨淋 ， 上面 慢慢 爬 上 了 一层 青苔 。 庭院 中 的 小径 也 是 以 山涧 随处可见 的 卵石 铺就 而成 ， 有 绿草 漫出 其间 。 
 家居 	 著名 的 巴里奥 奇诺 ( 图 ) 巴塞罗那 Raval 酒店 是 一个 前卫 装修 设计 成瘾者 的 天堂 。 这 装修 引起 了 每个 人 的 关注 ， 已 成为 中央 宝石 的 城市 。 它 坐落 在 著名 的 巴里奥 奇诺 ， 这使 该 地区 有 了 一个 全新 的 含义 。 这三 千五点 零万 欧元 整容 项目 由 建筑师 何塞 玛丽亚 纪廉 怀特 的 巴 塞罗 发展 集团 实现 。 它 的 椭圆形 设计 既 独特 又 具有 挑战性 。 为了 该 功能性 ， 设计师 提出 了 一个 核心 混凝土 ， 作为 骨干 ， 然后 一些 方面 的 支柱 ， 因此 ， 其余 的 地区 仍然 是 明确 的 。 很 明显 ， 大 半圆形 用餐 空间 ， 照明 和 规模 以上 的 座位 形式 已 定制 设计 流程 与 架构 ， 使 外部 壳牌 内部 导游 旅程 集体 项目 。 
 家居 	 葛优 两千万 豪宅 曝光 ( 组图 ) 与 好戏 不断 、 风风光光 的 演艺事业 相比 ， 葛优 的 家庭 生活 却是 格外 的 低调 和 平静 ， 一起 走过 20 年 风雨 的 妻子 贺聪 更是 很少 跟 自己 的 明星 丈夫 一起 出现 在 媒体 视线 中 。 今年 是 葛优 结婚 20 周年 ， 他 早已 为 自己 和 娇妻 准备 了 一份 厚礼 ： 一栋 价值 2000 万元 的 顶级 别墅 。 为了 早日 搬入 新 家 ， 葛优 和 妻子 正在 紧张 地 忙碌 着 ， 然而 在 忙碌 的 时候 他们 在 无意 中 也 上演 了 一出 恩恩爱爱 的 “ 生活秀 ” 。   和 陈道明 当 上 邻居   记者 日前 来到 了 “ 碧海 方舟 ” ， 进入 别墅区 后 记者 经过 打听 得知 葛优 的 别墅 目前 装修 已经 进入 收尾 阶段 ， 保安 经常 看见 葛优 和 妻子 来到 这里 查验 工程 情况 。 “ 碧海 方舟 ” 的 别墅 为 北美 建筑风格 ， 洋溢着 田园 风情 ， 别墅区 由北向南 纵深 排列 ， 葛优 的 别墅 位于 南端 ， 四套 别墅 组成 了 一个 小院 ， 葛优 的 这套 别墅 坐 西向东 ， 别墅 门前 是 林 阴道 ， 别墅 后面 是 大片 的 高尔夫球场 绿地 。   “ 碧海 方舟 ” 的 别墅 每套 都 在 2000 万元 以上 ， 在 这里 入住 的 全都 是 商界 名流 ， 演艺 明星 目前 只有 葛优 和 陈道明 两人 。 葛优 的 别墅 分为 三层 一层 是 主客 生活区 ， 二层 是 就寝 休息区 ， 阁楼 为 家庭 活动区 ， 别墅 装修 已经 接近 收尾 ， 装修 的 材料 以 大理石 、 瓷砖 和 木材 为主 ， 风格 典雅 大气 、 色调 凝重 古朴 。 阁楼 的 活动区 面积 很大 ， 建了 一个 酒吧 台 ， 摆放 了 很多 旧式 的 桌椅 ， 带有 “ 一丝 贵族 沙龙 的 气息 ， 别墅 中 散乱 地 摆放着 一些 实 木家具 ， 这些 家具 的 样式 和 色调 都 是 比较 古典 的 ， 一些 房间 里 的 吊灯 造型 也 很 传统 ， 可以 看出 葛优 夫妇 比较 偏爱 传统 的 家庭 生活 格调 和 装修 风格 ， 其中 别墅 的 装饰 材料 、 生活 用具 和 家具 看得出 都 很 精致 ， 价格不菲 ， 加上 装修费 耗资 应该 在 百万 以上 。   记者 在 葛优 的 别墅 当天 只 看到 施工人员 ， 并 没有 看到 葛优 夫妇 前来 “ 视察 ” ， 两天 后 的 中午 记者 再次 来到 葛优 的 别墅 ， 看到 别墅 门口 停着 一辆 银灰色 的 奔驰 轿车 和 一辆 迷你 库柏 。   一个 小时 后 葛优 和 一位 中年 女士 从 别墅 里 走 了 出来 ， 葛优 戴着 一顶 棒球帽 、 穿着 一条 休闲 短裤 ， 那位 中年 女士 则 穿着 一件 色彩鲜艳 的 T恤 和 一条 牛仔裙 ， 戴着 一副 墨镜 ， 正是 葛优 的 妻子 贺聪 。 葛优 和 妻子 起上 了 奔驰 轿车 ， 他们 离开 别墅 来到 了 附近 的 “ 居然 之 家 ” 家具城 。 葛优 夫妇 先 吃 了 一顿 午饭 ， 然后 又 到 装饰城 买 了 一些 装饰 材料 。 在 妻子 面前 ， 葛优 显才 导持别 恭顺 。 而 贺聪则 是 一副 “ 内当家 ” 的 模样 ， 之后 两人 坐车 又 回到 了 别墅 。 大约 在 傍晚 将近 4 点钟 的 时候 ， 葛优 夫妇 分别 开车 来到 了 女人街 附近 的 一处 高级 公寓 ， 两辆 汽车 一前一后 驶入 车库 。   
 家居 	 蒋勤勤 角色 风格 的 转换 ( 图 ) 蒋勤勤 的 星途 并 不 像 她 天生 的 那样 美丽 ， 没有 一炮而红 的 震撼 ， 却 如 她 扮演 的 多个 凄凉 角色 的 感情 命运 坎坷 而 漫长 。 不知不觉 中 ， 蒋勤勤 开始 了 角色 风格 的 转换 ， 庆幸 的 是 ， 每 一次 转变 都 是 一次 成功 。 这次 她 又 挑战 风格 的 转换 ， 这一辑 家居 照中 的 她 性感 、 妖娆 。 
 家居 	 蓝白 方格   感受 家中 20 ℃ 清凉 ( 组图 ) 格子 样式 不断 地 演变 着 ， 许多 不同 样式 设计 的 织法 一再 地 推陈出新 ， 而 在 家居 的 应用 上 也 不断 地 创新 ， 如以 纯丝 或 超细 绵做 更 缜密 的 针数 织法 可以 呈现出 色彩 柔和 渐层 的 质地 ， 设计师 便 将 这样 的 面料 放到 墙面 上 ， 作为 衬托 空间 优雅 细致 气质 的 一种 手段 。 格子 的 时代感 与 大方 ， 也 随着 多变 的 姿态 ， 在 潮流 中 显示 了 自信 之感 。 正 因为 如此 ， 格子 在 时光 的 洪流 里 仍 以 最 简单 的 复杂 ， 静静地 表达 不同于 世俗 的 风尚 。 多种 格子 样式 同时 堆砌 使用 ， 打造出 安全感 与 温暖 的 质地 ， 回到 记忆里 幼年 愉快 的 早晨 。 
 家居 	 蓝白 相间 的 卧室 很 有 地中海 的 味道 ( 图 ) 蓝白 相间 的 卧室 很 有 地中海 的 味道 。   蓝白 相间 的 卧室 很 有 地中海 的 味道 。 
 家居 	 蓝色 呼应 了 地中海 风格 的 主题 ( 图 ) 卫生间 ， 蓝色 的 色调 呼应 了 地中海 风格 的 主题 ， 岩石 的 台盆 是 亮点   卫生间 ， 蓝色 的 色调 呼应 了 地中海 风格 的 主题 ， 岩石 的 台盆 是 亮点   
 家居 	 蓝色 和 金色 两种 颜色 构成 ( 图 ) 7 . 此款 卧室 由 蓝色 和 金色 两种 颜色 构成 ， 因此 造就 了 他 安静 与 高贵 并存 的 特质 。 
 家居 	 蓝色妖姬 潜伏   让 你 爱 到 欲罢不能 的 家 ( 组图 ) 这种 蓝 ， 是 我 见 过 用 得 最 惟妙惟肖 的 ， 对称 式 的 客厅 ， 隐约 着 一种 不羁 的 美 ， 看 那 两幅 画 就 知道 了 ， 主人 不是 那种 一味 追求 对称 的 人 。 
 家居 	 蓝色 家居设计   炎炎夏日 清凉 计 ( 组图 ) 蓝色 ， 自然界 最 广博 的 颜色 ， 蓝天 呈现 着 它 的 色彩 。 蓝色 ， 自然界 最冷 的 蓝色 ， 湛蓝 的 海水 传递 透着 沁入 肌肤 的 凉意 。 当 奔波 劳碌 的 人们 因为 气温 的 升高 而 变得 烦躁 时 ， 蓝色 给 人 带来 的 视觉 清凉 让 家中 的 整个 空气 都 安静下来 。 深浅不同 的 蓝色 、 或 浪漫 、 或 妩媚 、 或 知性 … … 在 浴室 空间 ， 想到 水就会 想到 蓝色 ， 蓝色 是 清爽 的 、 透彻 的 。 蓝色 马赛克 让 你 沐浴 时 时刻 享受 清凉 ， 喜欢 蓝 就 把 地面 也 漆成 蓝色 ， 沐浴 时 赤 脚踏 着 蓝色 的 地面 亦 如 踩 着 海水 那样 舒缓 放松 。 湛蓝 色 是 蓝色 中 最为 生机勃勃 的 色彩 ， 你 可以 尝试 着 将 带有 Art   Deco 装饰 风格 的 蓝色 沙发 放进 卧室 ， 让 卧室 洋溢着 浪漫主义 风情 。 无论 在 哪 一个 角落 ， 都 能 体会 到 蓝色 气息 给 主人 带来 的 悠然自得 的 情绪 。 蓝色 ， 自然界 最 广博 的 颜色 ， 蓝天 呈现 着 它 的 色彩 。 蓝色 ， 自然界 最冷 的 蓝色 ， 湛蓝 的 海水 传递 透着 沁入 肌肤 的 凉意 。 当 奔波 劳碌 的 人们 因为 气温 的 升高 而 变得 烦躁 时 ， 蓝色 给 人 带来 的 视觉 清凉 让 家中 的 整个 空气 都 安静下来 。 深浅不同 的 蓝色 、 或 浪漫 、 或 妩媚 、 或 知性 … … 在 浴室 空间 ， 想到 水就会 想到 蓝色 ， 蓝色 是 清爽 的 、 透彻 的 。 蓝色 马赛克 让 你 沐浴 时 时刻 享受 清凉 ， 喜欢 蓝 就 把 地面 也 漆成 蓝色 ， 沐浴 时 赤 脚踏 着 蓝色 的 地面 亦 如 踩 着 海水 那样 舒缓 放松 。 湛蓝 色 是 蓝色 中 最为 生机勃勃 的 色彩 ， 你 可以 尝试 着 将 带有 Art   Deco 装饰 风格 的 蓝色 沙发 放进 卧室 ， 让 卧室 洋溢着 浪漫主义 风情 。 无论 在 哪 一个 角落 ， 都 能 体会 到 蓝色 气息 给 主人 带来 的 悠然自得 的 情绪 。 
 家居 	 蓝色 家居设计   炎炎夏日 清凉 计置 ( 组图 ) 蓝色 ， 自然界 最 广博 的 颜色 ， 蓝天 呈现 着 它 的 色彩 。 蓝色 ， 自然界 最冷 的 蓝色 ， 湛蓝 的 海水 传递 透着 沁入 肌肤 的 凉意 。 当 奔波 劳碌 的 人们 因为 气温 的 升高 而 变得 烦躁 时 ， 蓝色 给 人 带来 的 视觉 清凉 让 家中 的 整个 空气 都 安静下来 。 深浅不同 的 蓝色 、 或 浪漫 、 或 妩媚 、 或 知性 … … 在 浴室 空间 ， 想到 水就会 想到 蓝色 ， 蓝色 是 清爽 的 、 透彻 的 。 蓝色 马赛克 让 你 沐浴 时 时刻 享受 清凉 ， 喜欢 蓝 就 把 地面 也 漆成 蓝色 ， 沐浴 时 赤 脚踏 着 蓝色 的 地面 亦 如 踩 着 海水 那样 舒缓 放松 。 湛蓝 色 是 蓝色 中 最为 生机勃勃 的 色彩 ， 你 可以 尝试 着 将 带有 Art   Deco 装饰 风格 的 蓝色 沙发 放进 卧室 ， 让 卧室 洋溢着 浪漫主义 风情 。 无论 在 哪 一个 角落 ， 都 能 体会 到 蓝色 气息 给 主人 带来 的 悠然自得 的 情绪 。 
 家居 	 蓝色 家居设计   炎热 清凉 计 ( 组图 ) 蓝色 ， 自然界 最 广博 的 颜色 ， 蓝天 呈现 着 它 的 色彩 。 蓝色 ， 自然界 最冷 的 蓝色 ， 湛蓝 的 海水 传递 透着 沁入 肌肤 的 凉意 。 当 奔波 劳碌 的 人们 因为 气温 的 升高 而 变得 烦躁 时 ， 蓝色 给 人 带来 的 视觉 清凉 让 家中 的 整个 空气 都 安静下来 。 深浅不同 的 蓝色 、 或 浪漫 、 或 妩媚 、 或 知性 … …   在 浴室 空间 ， 想到 水就会 想到 蓝色 ， 蓝色 是 清爽 的 、 透彻 的 。 蓝色 马赛克 让 你 沐浴 时 时刻 享受 清凉 ， 喜欢 蓝 就 把 地面 也 漆成 蓝色 ， 沐浴 时 赤 脚踏 着 蓝色 的 地面 亦 如 踩 着 海水 那样 舒缓 放松 。 
 家居 	 蓝色 是 这里 的 主 基调 ( 图 ) 和 隔板 相连 在 宁静 的 婴儿 房里 ， 蓝色 是 这里 的 主 基调 ， 为了 配合 这里 的 主题 ， 用 淡蓝色 的 海鸟 壁纸 装饰 墙壁 ， 一直 和 旁边 的 蓝色 木制 板 相连 ， 让 房间 里 的 色调 得到 了 一致 的 延伸 。 
 家居 	 蓝色 最为 生机勃勃 的 色彩 ( 图 ) 湛蓝 色 是 蓝色 中 最为 生机勃勃 的 色彩 ， 你 可以 尝试 着 将 带有 Art   Deco 装饰 风格 的 蓝色 沙发 放进 卧室 ， 让 卧室 洋溢着 浪漫主义 风情 。 无论 在 哪 一个 角落 ， 都 能 体会 到 蓝色 气息 给 主人 带来 的 悠然自得 的 情绪 。 浅蓝色 在 淡雅 和 明快 中 透露 出 一丝 清凉 。 为了 营造 出 空间 纯净 明媚 的 感觉 ， 你 可以 为 家具 增添 许多 轻柔 素雅 的 配饰 。 例如 ， 冰 蓝色 的 曼妙 窗帘 、 素雅 的 同色系 床品 等等 。 掌握 了 这个 技巧 ， 夏天 可以 不 更换 家具 而 只 为 它们 披上 一件 清新 外衣 ， 让 家居 绽放 纯净 的 表情 。 
 家居 	 蓝色 温柔   浪漫 的 爱 ( 图 ) 编辑 推荐 二 ： 蓝色 温柔   浪漫 的 爱 现代 的 都市人 ， 生活 在 钢筋水泥 之中 。 每天 面对 汽车 ， 电脑 ， 还有 紧张 的 工作 与 应酬 ! 心里 得不到 片刻 的 宁静 。 人们 向往 那种 蓝天 ， 碧海 的 环境 ， 憧憬 自由 ， 浪漫 与 轻松 的 生活 方式 。 浪漫 的 蓝色 ， 让 人 感觉 走进 了 大自然 ， 心情 也 格外 的 舒畅 。 纯净 的 蓝色 表现 出 一种 美丽 、 冷静 、 理智 、 安详 与 广阔 。 让 他 感受 你 的 温柔 与 内敛 。 
 家居 	 蓝色 田园   海陆 混搭风 ( 图 ) Part2   蓝色 田园   海陆 混搭风 花色 的 窗帘 + 多种 插花 + 蓝色 的 转角 沙发 田园 风格 与 地中海 风情 的 完美 结合 ， 给 人 自然 的 美感 。 白色 柜 + 蓝色 背景墙 + 花色 桌布 ， 简洁 、 干净 ， 拥有 美好 的 田园 乡村 感 林林总总 的 花插 瓷器 ， 如春 日般 清新 亮丽 的 色调 ， 让 我们 真的 感觉 到 春 的 临近 。 
 家居 	 蓝色 的 实 木家具 ( 图 ) 在 这里 我 将 给 你们 介绍 的 是 蓝色 的 实 木家具 ， 这种 蓝色 实 木家具 来自 意大利 的 Grattarola 家具公司 ， 它 是 由 实心 的 木材 而 制作 成 的 ， 它 显示 蓝色 ， 却 也 从 蓝色 中 透露 出 木材 的 漂亮 机理 。 Grattarola 家具 的 蓝色 不是 纯 蓝色 ， 它 的 蓝色 是 steel   blue ( 钢蓝 ) 色 ， 这种 蓝色 更 带有 一些 冷静 的 色彩 ， 清爽 而 冷静 ， 更 使 乡村 家具 的 味道 能 浓厚 的 显示 出来 。 
 家居 	 蓝色 的 实 木家具 来自 意大利 ( 图 ) 在 这里 我 将 给 你们 介绍 的 是 蓝色 的 实 木家具 ， 这种 蓝色 实 木家具 来自 意大利 的 Grattarola 家具公司 ， 它 是 由 实心 的 木材 而 制作 成 的 ， 它 显示 蓝色 ， 却 也 从 蓝色 中 透露 出 木材 的 漂亮 机理 。 Grattarola 家具 的 蓝色 不是 纯 蓝色 ， 它 的 蓝色 是 steel   blue ( 钢蓝 ) 色 ， 这种 蓝色 更 带有 一些 冷静 的 色彩 ， 清爽 而 冷静 ， 更 使 乡村 家具 的 味道 能 浓厚 的 显示 出来 。 
 家居 	 蓝色 调 与 白色 调 协调 统一 ( 图 ) 蓝色 调 与 白色 调 协调 统一 ， 给人以 强烈 的 现代感 ， 地柜 与 悬柜 上下 呼应 ， 超大 容量 的 贮存 容量 使 它 表里如一 ， 美观 实用 。   
 家居 	 蓝色 调 烘托出 宁静 的 氛围 ( 图 ) 炎炎 的 夏日 已经 到来 ， 很多 人 都 希望 给 自己 营造 一个 清凉 的 家居环境 。 干净 透气 的 白 ， 冷淡 清新 的 蓝 ， 自然 清爽 的 绿 ， 大气 中性 的 棕 ， 在 骄阳似火 的 夏天 ， 适当 地 运用 清爽 色彩 以及 画龙点睛 的 配饰 就 能 装扮 出 一个 凉爽 怡人 的 家 。 
 家居 	 蕙兰 与 火龙果 ( 图 ) 1 . 火龙果 也 曾经 盛开着 雅致 的 花朵 ， 如今 它 以 硕果 的 身份 ， 依旧 忆起 青春 的 美好 绽放 ， 粉色 的 蕙兰 就是 它 美好 的 回忆 ， 花和果 从来 都 没有 分开 过 。 花材 ： 蕙兰 与 火龙果 制作 ： 用 绿色 丝带 缠起 蕙兰 ， 再 将 其 插入 火龙果 内 即可 。 
 家居 	 薄胎 瓷 灯具 轻巧 秀丽 ( 图 ) 薄胎 瓷 灯具 轻巧 秀丽   近年来 ， 随着 制瓷 工艺 的 不断 发展 ， 薄胎 瓷 和 玲珑 瓷 开始 广泛 使用 在 灯具 上 。 “ 薄如 蝉翼 ， 轻如绸纱 ” 形容 出 景德镇 薄胎 瓷 的 轻巧 秀丽 ， 薄胎 瓷 的 厚度 不足 1 毫米 ， 透光性 较强 ， 用来 制作 灯罩 ， 弥补 了 普通 陶瓷制品 厚度 较大 、 透光性 不强 的 缺陷 。 玲珑 瓷 也 是 景德镇 的 四大 传统 名瓷 之一 ， 采用 镂雕 工艺 ， 雕镂 出 许多 有 规则 的 “ 玲珑 眼 ” 。 玲珑 瓷 往往 配以 青花 图案 ， 显得 古朴 而 清新 。 
 家居 	 藉由 玄关 与 端景 分隔 ( 图 ) 下图 是 两户 集成 的 ， 藉由 玄关 与 端景 分隔 左右 客 、 餐厅 。 设计师 与 屋主 在 沟通 往来 上花 了 相当 多 的 时间 ， 希望 将 每 一个 细节 都 能够 结合 屋主 对 风水 以及 对 设计 的 喜好 ， 整体 设计 走向 偏向 沉稳 的 新 古典风格 并 融合 禅风 ， 本身 屋主 喜爱 新 古典 与 禅风 的 味道 ， 但 这 两者之间 结合 不易 ， 因此 设计师 在 两者之间 透过 色系 的 运用 、 线条 的 比例 、 材质 的 使用 、 空间 格局 的 配置 、 家具 的 搭配 ， 让 两者 取得 平衡 。 
 家居 	 藏 在 任何 闲置 空间 ( 图 ) 藏 在 任何 闲置 空间 为 洗衣 专门 设置 一个 空间 ， 是 再好不过 的 事情 ， 当然 除了 清洗 ， 这里 还要 兼具 整理 收纳 的 功能 。 小件 的 东西 如 内衣 、 袜子 之类 ， 可以 直接 整理 放到 隔架 或者 柜子 的 收纳盒 中 ， 而 大件 的 衣服 也 可以 收纳 到 这个 空间 的 吊柜 和 衣柜 中 。 熨烫 的 设备 在 这里 也 是 不能 少 的 ， 完整 的 规划 ， 顺应 洗衣 、 整烫 顺序 的 设置 ， 使得 这里 的 家务 时段 更加 轻松 ， 让 你 感受 到 比 别处 多得多 的 “ 家庭 感 ” ， 因此 很多 人 宁愿 拿出 家里 的 一块 完整 空间 来 做 洗衣 熨衣 这样 的 事情 ， 道理 正是如此 。 
 家居 	 藤 木家具 打造 炎夏 自然风 ( 图 ) 选择 藤 、 木材 质 的 家具 ， 搭配 出 一个 自然 风格 的 客厅 。 不拘一格 的 摆放 方式 ， 在 炎热 的 夏季 营造 一个 清爽 自然 的 居家 环境 ：   
 家居 	 藤 木家具 打造 炎夏 自然风 ( 组图 ) 选择 藤 、 木材 质 的 家具 ， 搭配 出 一个 自然 风格 的 客厅 。 不拘一格 的 摆放 方式 ， 在 炎热 的 夏季 营造 一个 清爽 自然 的 居家 环境 ： 
 家居 	 藤材 本色 的 小型 桌几 ( 图 ) 选择 藤 、 木材 质 的 家具 ， 搭配 出 一个 自然 风格 的 客厅 。 不拘一格 的 摆放 方式 ， 在 炎热 的 夏季 营造 一个 清爽 自然 的 居家 环境 ： 
 家居 	 藤竹 家具   品味 马来西亚 风情 ( 组图 ) 炎炎夏日 ， 在 家里 摆放 一些 竹 或 藤制 的 家具 ， 在 感受 马来西亚 风情 之 余 ， 享受 丝丝 清凉 。 
 家居 	 蘑菇 不倒翁 ( 图 ) 蘑菇 不倒翁 Georg   Jensen 出品 的 这组 椒盐 罐 造型 如 美味 蘑菇 ， 以 对比 颜色 作 辨识 ， 再 加上 脚 重头 轻 的 不倒翁 手感 ， 随手 放在 桌面 微微 摇晃 后 渐渐 静止 的 模样 ， 使得 这 圆滚滚 的 讨喜 椒盐 罐 ， 人气 指数 一直 持续 不坠 。 
 家居 	 蛋椅   雕塑 艺术品 ( 图 ) 蛋椅   雕塑 艺术品   丹麦 设计师 阿内尔 · 雅各布森 于 1958 年 创作 的 作品 ， 其 外形 具有 强烈 的 感染力 ， 蛋壳 似的 造型 让 人 在 梦幻 与 现实 之间 游走 。 这件 作品 可以 说 是 一件 雕塑 艺术品 ， 设计师 使用 了 当时 新发明 的 一种 化学合成 材料 聚苯乙烯 ， 这种 材料 可以 制成 海绵 泡沫状 并 张拉 成型 。 然后 将 这种 材料 粘 在 模压 玻璃 纤维板 上 ， 从而 实现 了 所 需要 的 形式 。   
 家居 	 表现 个人 的 生活 品味 与 风格 ( 图 ) 简约 风 - 放 轻松   如今 卫浴 空间 的 功能 已 向 休憩 空间 延伸 ， 除了 提供 身 心灵 全然 的 舒展 与 放松 外 ， 更 表现 个人 的 生活 品味 与 风格 。 
 家居 	 表现 独特 热带 风情 ( 图 ) 王朝 的 威严 与 宗教 的 神圣 在 这里 找到 了 完美 的 契合 ， 所以 这 一切 在 装修 中 体现 无疑 。   在 造型 别致 的 红灯 的 陪衬 下 ， 表现 独特 热带 风情 。 
 家居 	 表达 心情   表现 生活 ( 图 ) 来自 意大利 著名 卫浴 品牌 sonia 的 产品 ， 设计师 在 设计 中将 各种因素 集中 考虑 ， 进行 合理 搭配 ， 让 材料 与 设计 合而为一 ， 表达 心情 ， 表现 生活 ， 赋予 空间 冷峻 成熟 的 气息 ， 清凉 中 不失 浪漫 。 为 你 的 生活 带来 无穷的 乐趣 。 
 家居 	 表面 贴 有 马赛克 的 花纹 ( 图 ) 高跟鞋 和 浴缸 有 什么 关系 ? 相信 很多 人 都 不会 想到 。 但是 意大利 SICIS 艺术 工厂 的 设计师 们 就 很 大胆 地 把 两者 结合 在 了 一起 ， 开发 出 了 这款 美轮美奂 的 高跟鞋 浴缸 . ( ShoeBathtub ) 。 这些 意大利 的 浴缸 的 表面 贴 有 马赛克 的 花纹 ， 看起来 就 像 极其 奢华 的 高跟鞋 ， 实在 是 太漂亮 了 ! 另外 ， 高跟鞋 的 这种 曲线 会 使得 使用者 倚靠 起来 非常 舒服 ， 而 普通 的 浴缸 感觉 要 差 一些 。 如果 你家 的 浴室 足够 大 ， 足够 高 ， 不妨 试试 这种 浴缸 。 需要 提醒 的 是 ， 男士 坐在 这种 浴缸 里 似乎 就 有点 大煞风景 了 。 
 家居 	 衬托 家具 和 其他 装饰品 的 细节 ( 图 ) 虽然 不是 专业 的 设计师 ， 但戈文 的 想法 却 很 具 专业性 ， 他 说 ： “ 选择 白色 和 灰色 铺垫 整个 空间 并 不是 因为 我 贪图 简便 ， 而是 因为 它 可以 更好 地 衬托 家具 和 其他 装饰品 的 细节 。 比起 绚丽 的 装饰 线条 和 空间 ， 我 更 喜欢 简单 而 统一 的 环境 。 房间 两侧 的 六扇 窗户 已经 让 空间 略显 凌乱 ， 所以 复杂 的 装修 只会 让 我 自讨苦吃 。 ” 
 家居 	 衬托 空间 优雅 细致 气质 的 一种 手段 ( 图 ) 格子 的 时代感 与 大方 ， 也 随着 多变 的 姿态 ， 在 潮流 中 显示 了 自信 之感 。 以纯丝 或 超细 绵做 更 缜密 的 针数 织法 可以 呈现出 色彩 柔和 渐层 的 质地 ， 设计师 便 将 这样 的 面料 放到 墙面 上 ， 作为 衬托 空间 优雅 细致 气质 的 一种 手段 。 所以 ， 格子 在 时光 的 洪流 里 仍 以 最 简单 的 复杂 ， 静静地 表达 不同于 世俗 的 风尚 。   
 家居 	 装修 最 特别 的 阶梯 造型 ( 图 ) 客厅 中 装修 最 特别 的 阶梯 造型 ， 其实 是 橱柜 ， 提供 了 大量 的 收纳 空间 
 家居 	 装修 设计 的 技巧 ( 图 ) 小户型 的 家居 还要 留有 书房 的 面积 要 讲究 装修 设计 的 技巧 ， 这里 推荐 几款 小户型 经典 书房 设计 ， 为 你 的 家居 提供 可 参考 的 方案 。 
 家居 	 装潢 过程 中 不可 忽视 的 关键 地带 ( 图 ) 民以食为天 ， 餐厅 作为 一个 家庭 交流 感情 的 重要 场所 ， 是 装潢 过程 中 不可 忽视 的 关键 地带 。   一块 简单 的 隔板 ? 一张 四方 的 餐桌 ?   No ! ! !   在外 吃饭 讲究 情调 氛围 ， 在家 当然 也 要 慎重其事 。   
 家居 	 装饰性 粉刷 的 装饰 手法 ( 图 ) 墙饰 1 . 餐厅 的 装饰 受 二十世纪 一位 伟大 的 水彩画 大师 卡尔 · 拉松 他 的 餐厅 影响 。 2 . 利用 挂盘 和 装饰性 粉刷 的 装饰 手法 在 瑞典人 家里 已经 盛行 了 几个 世纪 ， 当年 流动 油漆匠 游走 在 乡村 里 ， 用 垂 花式 、 月桂花 彩 斑点 、 仿 大理石 花纹 等 粉刷 手法 装饰 墙面 ， 至今 如此 。 
 家居 	 装饰 才 是 家 的 灵魂 ( 图 ) “ 轻 装修 、 重 装饰 ” 不再 是 一句 口号 ， 装饰 才 是 家 的 灵魂 。   家 既 是 日常生活 的 场所 更是 有关 个人 喜好 和 追求 的 私密 场所 。 所以 大到 居家 环境 的 营造 ， 小到 某个 物件 的 陈列 无不 体现 了 主人 的 品味 。   通过 家居 软 装饰 的 形式 营造 同 系列 、 同 风格 的 布艺 家居 整体 风情 。 摒弃 传统 的 单一 床品 设计 思路 ， 推崇 整体 家居 概念 ， 每一款 都 有 与 之 搭配 的 同 花色 图案 的 窗帘 、 床品 、 台布 、 壁纸 、 小 家饰 等 系列 家居用品 。 设计 不仅 融入 了 当代 时尚 元素 同时 强调 东西方 文化 的 结合 ， 将 传统 图案 、 花鸟 鱼虫 作为 重要 的 创作 素材 。 增添 空间 的 雅趣 ， 提升 室内 的 舒服 和 柔软 。 结合 室内环境 的 总体 风格 ， 充分利用 不同 装饰物 所 呈现出 的 不同 性格特点 和 文化 内涵 ， 改造 单纯 、 枯燥 、 静态 的 室内空间 ， 使 之 变成 丰富 的 、 充满 情趣 的 动态 空间 一次 深入 趣味 的 游戏 尝试 。 
 家居 	 装饰画 不 在 多 而 在 精 ( 图 ) 居 室内 悬挂 的 装饰画 不 在 多 而 在 精 ， 在 一个 空间 内有 一两个 视觉 亮点 就 足够 了 。 在 同 一面 墙上 如果 需要 挂 3 幅画 ， 可 采用 平视 一 字形 和 逐渐 升高 的 梯形 排列 。 一 字形 看起来 整体性 强 、 简洁 大方 ， 梯形 排列 则 显得 错落有致 、 富有 层次 变化 。 挂画 的 大小 、 位置 视墙 的 比例 而定 。 为 避免 视觉 疲劳 ， 将 画 挂 在 与 视线 齐平 的 高度 比较 合适 。   
